experiment,subject,stimulus_id,error_count,cat
Exp2,0,Stim4,0,A
Exp2,0,Stim7,0,A
Exp2,0,Stim15,1,A
Exp2,0,Stim13,1,A
Exp2,0,Stim5,1,A
Exp2,0,Stim12,1,B
Exp2,0,Stim2,1,B
Exp2,0,Stim14,0,B
Exp2,0,Stim10,1,B
Exp2,1,Stim4,0,A
Exp2,1,Stim7,0,A
Exp2,1,Stim15,0,A
Exp2,1,Stim13,1,A
Exp2,1,Stim5,1,A
Exp2,1,Stim12,2,B
Exp2,1,Stim2,2,B
Exp2,1,Stim14,1,B
Exp2,1,Stim10,0,B
Exp2,2,Stim4,0,A
Exp2,2,Stim7,1,A
Exp2,2,Stim15,0,A
Exp2,2,Stim13,1,A
Exp2,2,Stim5,1,A
Exp2,2,Stim12,1,B
Exp2,2,Stim2,1,B
Exp2,2,Stim14,1,B
Exp2,2,Stim10,1,B
Exp2,3,Stim4,0,A
Exp2,3,Stim7,0,A
Exp2,3,Stim15,0,A
Exp2,3,Stim13,0,A
Exp2,3,Stim5,1,A
Exp2,3,Stim12,2,B
Exp2,3,Stim2,2,B
Exp2,3,Stim14,1,B
Exp2,3,Stim10,1,B
Exp2,4,Stim4,0,A
Exp2,4,Stim7,1,A
Exp2,4,Stim15,0,A
Exp2,4,Stim13,1,A
Exp2,4,Stim5,1,A
Exp2,4,Stim12,1,B
Exp2,4,Stim2,3,B
Exp2,4,Stim14,0,B
Exp2,4,Stim10,0,B
Exp2,5,Stim4,0,A
Exp2,5,Stim7,1,A
Exp2,5,Stim15,0,A
Exp2,5,Stim13,0,A
Exp2,5,Stim5,0,A
Exp2,5,Stim12,2,B
Exp2,5,Stim2,1,B
Exp2,5,Stim14,1,B
Exp2,5,Stim10,0,B
Exp2,6,Stim4,0,A
Exp2,6,Stim7,0,A
Exp2,6,Stim15,1,A
Exp2,6,Stim13,1,A
Exp2,6,Stim5,1,A
Exp2,6,Stim12,2,B
Exp2,6,Stim2,3,B
Exp2,6,Stim14,1,B
Exp2,6,Stim10,1,B
Exp2,7,Stim4,0,A
Exp2,7,Stim7,1,A
Exp2,7,Stim15,0,A
Exp2,7,Stim13,1,A
Exp2,7,Stim5,1,A
Exp2,7,Stim12,0,B
Exp2,7,Stim2,1,B
Exp2,7,Stim14,1,B
Exp2,7,Stim10,0,B
Exp2,8,Stim4,1,A
Exp2,8,Stim7,0,A
Exp2,8,Stim15,0,A
Exp2,8,Stim13,1,A
Exp2,8,Stim5,1,A
Exp2,8,Stim12,1,B
Exp2,8,Stim2,1,B
Exp2,8,Stim14,0,B
Exp2,8,Stim10,0,B
Exp2,9,Stim4,1,A
Exp2,9,Stim7,1,A
Exp2,9,Stim15,0,A
Exp2,9,Stim13,1,A
Exp2,9,Stim5,1,A
Exp2,9,Stim12,2,B
Exp2,9,Stim2,1,B
Exp2,9,Stim14,0,B
Exp2,9,Stim10,0,B
Exp2,10,Stim4,0,A
Exp2,10,Stim7,0,A
Exp2,10,Stim15,0,A
Exp2,10,Stim13,1,A
Exp2,10,Stim5,0,A
Exp2,10,Stim12,1,B
Exp2,10,Stim2,2,B
Exp2,10,Stim14,1,B
Exp2,10,Stim10,1,B
Exp2,11,Stim4,0,A
Exp2,11,Stim7,1,A
Exp2,11,Stim15,1,A
Exp2,11,Stim13,1,A
Exp2,11,Stim5,0,A
Exp2,11,Stim12,1,B
Exp2,11,Stim2,2,B
Exp2,11,Stim14,0,B
Exp2,11,Stim10,0,B
Exp2,12,Stim4,1,A
Exp2,12,Stim7,0,A
Exp2,12,Stim15,1,A
Exp2,12,Stim13,0,A
Exp2,12,Stim5,0,A
Exp2,12,Stim12,2,B
Exp2,12,Stim2,3,B
Exp2,12,Stim14,1,B
Exp2,12,Stim10,0,B
Exp2,13,Stim4,0,A
Exp2,13,Stim7,1,A
Exp2,13,Stim15,0,A
Exp2,13,Stim13,1,A
Exp2,13,Stim5,0,A
Exp2,13,Stim12,1,B
Exp2,13,Stim2,2,B
Exp2,13,Stim14,0,B
Exp2,13,Stim10,0,B
Exp2,14,Stim4,1,A
Exp2,14,Stim7,0,A
Exp2,14,Stim15,0,A
Exp2,14,Stim13,0,A
Exp2,14,Stim5,0,A
Exp2,14,Stim12,1,B
Exp2,14,Stim2,2,B
Exp2,14,Stim14,1,B
Exp2,14,Stim10,1,B
Exp2,15,Stim4,0,A
Exp2,15,Stim7,1,A
Exp2,15,Stim15,0,A
Exp2,15,Stim13,1,A
Exp2,15,Stim5,0,A
Exp2,15,Stim12,3,B
Exp2,15,Stim2,2,B
Exp2,15,Stim14,1,B
Exp2,15,Stim10,0,B
Exp2,16,Stim4,1,A
Exp2,16,Stim7,0,A
Exp2,16,Stim15,1,A
Exp2,16,Stim13,0,A
Exp2,16,Stim5,1,A
Exp2,16,Stim12,1,B
Exp2,16,Stim2,0,B
Exp2,16,Stim14,0,B
Exp2,16,Stim10,0,B
Exp2,17,Stim4,0,A
Exp2,17,Stim7,0,A
Exp2,17,Stim15,1,A
Exp2,17,Stim13,0,A
Exp2,17,Stim5,0,A
Exp2,17,Stim12,2,B
Exp2,17,Stim2,1,B
Exp2,17,Stim14,1,B
Exp2,17,Stim10,1,B
Exp2,18,Stim4,0,A
Exp2,18,Stim7,0,A
Exp2,18,Stim15,1,A
Exp2,18,Stim13,1,A
Exp2,18,Stim5,1,A
Exp2,18,Stim12,2,B
Exp2,18,Stim2,2,B
Exp2,18,Stim14,0,B
Exp2,18,Stim10,0,B
Exp2,19,Stim4,0,A
Exp2,19,Stim7,1,A
Exp2,19,Stim15,0,A
Exp2,19,Stim13,1,A
Exp2,19,Stim5,1,A
Exp2,19,Stim12,3,B
Exp2,19,Stim2,2,B
Exp2,19,Stim14,0,B
Exp2,19,Stim10,1,B
Exp2,20,Stim4,0,A
Exp2,20,Stim7,1,A
Exp2,20,Stim15,0,A
Exp2,20,Stim13,0,A
Exp2,20,Stim5,0,A
Exp2,20,Stim12,2,B
Exp2,20,Stim2,2,B
Exp2,20,Stim14,1,B
Exp2,20,Stim10,0,B
Exp2,21,Stim4,1,A
Exp2,21,Stim7,1,A
Exp2,21,Stim15,1,A
Exp2,21,Stim13,1,A
Exp2,21,Stim5,0,A
Exp2,21,Stim12,1,B
Exp2,21,Stim2,1,B
Exp2,21,Stim14,0,B
Exp2,21,Stim10,0,B
Exp2,22,Stim4,0,A
Exp2,22,Stim7,1,A
Exp2,22,Stim15,0,A
Exp2,22,Stim13,0,A
Exp2,22,Stim5,1,A
Exp2,22,Stim12,2,B
Exp2,22,Stim2,2,B
Exp2,22,Stim14,1,B
Exp2,22,Stim10,1,B
Exp2,23,Stim4,1,A
Exp2,23,Stim7,1,A
Exp2,23,Stim15,0,A
Exp2,23,Stim13,0,A
Exp2,23,Stim5,0,A
Exp2,23,Stim12,1,B
Exp2,23,Stim2,1,B
Exp2,23,Stim14,1,B
Exp2,23,Stim10,0,B
Exp2,24,Stim4,1,A
Exp2,24,Stim7,0,A
Exp2,24,Stim15,0,A
Exp2,24,Stim13,0,A
Exp2,24,Stim5,1,A
Exp2,24,Stim12,2,B
Exp2,24,Stim2,1,B
Exp2,24,Stim14,0,B
Exp2,24,Stim10,1,B
Exp2,25,Stim4,1,A
Exp2,25,Stim7,1,A
Exp2,25,Stim15,0,A
Exp2,25,Stim13,0,A
Exp2,25,Stim5,0,A
Exp2,25,Stim12,2,B
Exp2,25,Stim2,1,B
Exp2,25,Stim14,1,B
Exp2,25,Stim10,1,B
Exp2,26,Stim4,0,A
Exp2,26,Stim7,0,A
Exp2,26,Stim15,1,A
Exp2,26,Stim13,0,A
Exp2,26,Stim5,0,A
Exp2,26,Stim12,1,B
Exp2,26,Stim2,1,B
Exp2,26,Stim14,1,B
Exp2,26,Stim10,1,B
Exp2,27,Stim4,0,A
Exp2,27,Stim7,1,A
Exp2,27,Stim15,1,A
Exp2,27,Stim13,1,A
Exp2,27,Stim5,0,A
Exp2,27,Stim12,3,B
Exp2,27,Stim2,0,B
Exp2,27,Stim14,1,B
Exp2,27,Stim10,1,B
Exp2,28,Stim4,0,A
Exp2,28,Stim7,0,A
Exp2,28,Stim15,1,A
Exp2,28,Stim13,1,A
Exp2,28,Stim5,1,A
Exp2,28,Stim12,0,B
Exp2,28,Stim2,2,B
Exp2,28,Stim14,1,B
Exp2,28,Stim10,1,B
Exp2,29,Stim4,1,A
Exp2,29,Stim7,1,A
Exp2,29,Stim15,0,A
Exp2,29,Stim13,1,A
Exp2,29,Stim5,1,A
Exp2,29,Stim12,1,B
Exp2,29,Stim2,2,B
Exp2,29,Stim14,0,B
Exp2,29,Stim10,0,B
Exp2,30,Stim4,1,A
Exp2,30,Stim7,0,A
Exp2,30,Stim15,1,A
Exp2,30,Stim13,0,A
Exp2,30,Stim5,0,A
Exp2,30,Stim12,2,B
Exp2,30,Stim2,1,B
Exp2,30,Stim14,1,B
Exp2,30,Stim10,0,B
Exp2,31,Stim4,0,A
Exp2,31,Stim7,0,A
Exp2,31,Stim15,0,A
Exp2,31,Stim13,1,A
Exp2,31,Stim5,0,A
Exp2,31,Stim12,1,B
Exp2,31,Stim2,2,B
Exp2,31,Stim14,1,B
Exp2,31,Stim10,1,B
